Tonga,Gloss,Tone,C1,C2,maxf0,minf0,meanf0,diff.f0,intensity,duration,C1.class,C2.class
ku-fyot-a,be narrowat one end,H,fy,t,170.916876,166.2338814,167.4599829,15.0119649,71.50943348,74.21703856,voiceless obstruent wth glide,voiceless obstruents
ku-lakwa,go astray,H,l,kw,167.4901186,160.3810449,163.8445142,5.5820006,78.96731896,61.13492243,sonorants,voiceless obstruent wth glide
ku-nam-a,lie,H,n,m,168.2410142,159.494827,162.4614588,7.0072944,74.70940729,82.48485459,sonorants,sonorants
ku-wl-a,be caught in trap,H,w,l,168.9818765,165.0431592,167.6809018,6.8345202,73.54334422,44.63165531,sonorants,sonorants
ku-bam-a,craw,L,b,m,135.6336704,126.3206215,131.2315256,-0.5876458,75.01773443,71.2298003,voiced obstruents,sonorants
ku-bil-a,sink,L,b,l,148.2044945,127.925016,141.9349977,7.1521358,69.01810405,72.87864309,voiced obstruents,sonorants
ku-cheel-a,set a trap,L,ch,l,175.9393554,167.6196025,172.6683421,25.0578102,73.00082589,50.5068478,aspirates,sonorants
ku-chiik-a,drive,L,ch,k,158.3298904,151.4202522,156.2336683,16.4942525,67.80495218,40.69878977,aspirates,voiceless obstruents
ku-dek-a,be quiet,L,d,k,144.2528692,134.5357715,141.3513084,7.4780846,70.63150624,69.09854926,voiced obstruents,voiceless obstruents
ku-dil-a,pour out,L,d,l,146.4434406,133.4989908,142.2546732,6.5188042,69.27599749,64.25985601,voiced obstruents,sonorants
ku-gand-a,strike,L,g,nd,157.4997196,141.7421168,148.3129926,12.3468116,73.56317785,77.16277566,voiced obstruents,prenasalized voiced stops
ku-gul-a,buy,L,g,l,150.9614816,131.7582257,141.7351848,2.0465288,67.23269866,34.43396912,voiced obstruents,sonorants
ku-hom-a,pierce,L,h,m,147.5800728,125.6370511,141.6852947,6.7454185,70.51187783,77.43333455,aspirates,sonorants
